customer_id,total_ticket,avg_severity,severe_ticket_count,severe_ticket_ratio,customer_type
C-0001,0.0,0.0,0.0,0.0,loyal_quiet
C-0002,4.0,2.0,0.0,0.0,satisfied
C-0003,3.0,2.3333333333333335,0.0,0.0,satisfied
C-0004,8.0,2.5,0.0,0.0,satisfied
C-0005,8.0,2.25,0.0,0.0,satisfied
C-0006,16.0,2.375,3.0,0.1875,satisfied
C-0007,7.0,1.4285714285714286,0.0,0.0,satisfied
C-0008,4.0,2.25,0.0,0.0,satisfied
C-0009,4.0,2.75,1.0,0.25,satisfied
C-0010,12.0,2.4166666666666665,0.0,0.0,satisfied
C-0011,3.0,2.0,0.0,0.0,satisfied
C-0012,8.0,2.75,1.0,0.125,satisfied
C-0013,4.0,2.5,1.0,0.25,satisfied
C-0014,5.0,2.0,0.0,0.0,satisfied
C-0015,11.0,2.272727272727273,1.0,0.09090909090909091,satisfied
C-0016,11.0,1.6363636363636365,0.0,0.0,satisfied
C-0017,2.0,1.5,0.0,0.0,satisfied
C-0018,13.0,2.3076923076923075,1.0,0.07692307692307693,satisfied
C-0019,12.0,2.3333333333333335,1.0,0.08333333333333333,satisfied
C-0020,15.0,2.0,0.0,0.0,satisfied
C-0021,6.0,2.0,0.0,0.0,satisfied
C-0022,6.0,2.5,1.0,0.16666666666666666,satisfied
C-0023,6.0,2.3333333333333335,0.0,0.0,satisfied
C-0024,15.0,1.9333333333333333,0.0,0.0,satisfied
C-0025,0.0,0.0,0.0,0.0,loyal_quiet
C-0026,7.0,1.8571428571428572,0.0,0.0,satisfied
C-0027,14.0,2.642857142857143,2.0,0.14285714285714285,satisfied
C-0028,14.0,2.5,2.0,0.14285714285714285,satisfied
C-0029,7.0,1.8571428571428572,0.0,0.0,satisfied
C-0030,1.0,1.0,0.0,0.0,satisfied
C-0031,0.0,0.0,0.0,0.0,loyal_quiet
C-0032,11.0,2.8181818181818183,1.0,0.09090909090909091,satisfied
C-0033,4.0,2.25,1.0,0.25,satisfied
C-0034,4.0,3.0,1.0,0.25,at_risk
C-0035,12.0,2.3333333333333335,1.0,0.08333333333333333,satisfied
C-0036,10.0,2.4,1.0,0.1,satisfied
C-0037,3.0,2.0,0.0,0.0,satisfied
C-0038,13.0,2.6153846153846154,2.0,0.15384615384615385,satisfied
C-0039,2.0,3.0,0.0,0.0,at_risk
C-0040,0.0,0.0,0.0,0.0,loyal_quiet
C-0041,2.0,2.5,0.0,0.0,satisfied
C-0042,6.0,1.8333333333333333,0.0,0.0,satisfied
C-0043,4.0,3.0,1.0,0.25,at_risk
C-0044,3.0,2.6666666666666665,0.0,0.0,satisfied
C-0045,7.0,2.2857142857142856,0.0,0.0,satisfied
C-0046,10.0,2.2,0.0,0.0,satisfied
C-0047,9.0,2.3333333333333335,0.0,0.0,satisfied
C-0048,3.0,3.0,1.0,0.3333333333333333,at_risk
C-0049,6.0,2.1666666666666665,0.0,0.0,satisfied
C-0050,6.0,2.5,1.0,0.16666666666666666,satisfied
C-0051,3.0,3.0,0.0,0.0,at_risk
C-0052,9.0,2.2222222222222223,0.0,0.0,satisfied
C-0053,2.0,2.0,0.0,0.0,satisfied
C-0054,9.0,2.0,0.0,0.0,satisfied
C-0055,10.0,2.7,2.0,0.2,satisfied
C-0056,0.0,0.0,0.0,0.0,loyal_quiet
C-0057,3.0,2.3333333333333335,0.0,0.0,satisfied
C-0058,4.0,2.0,0.0,0.0,satisfied
C-0059,2.0,1.5,0.0,0.0,satisfied
C-0060,2.0,1.5,0.0,0.0,satisfied
C-0061,3.0,1.6666666666666667,0.0,0.0,satisfied
C-0062,4.0,2.0,0.0,0.0,satisfied
C-0063,1.0,1.0,0.0,0.0,satisfied
C-0064,2.0,2.0,0.0,0.0,satisfied
C-0065,7.0,1.8571428571428572,0.0,0.0,satisfied
C-0066,12.0,2.1666666666666665,1.0,0.08333333333333333,satisfied
C-0067,6.0,1.6666666666666667,0.0,0.0,satisfied
C-0068,7.0,1.7142857142857142,0.0,0.0,satisfied
C-0069,8.0,2.375,1.0,0.125,satisfied
C-0070,5.0,2.6,1.0,0.2,satisfied
C-0071,9.0,2.0,0.0,0.0,satisfied
C-0072,17.0,1.6470588235294117,0.0,0.0,satisfied
C-0073,15.0,2.4,0.0,0.0,satisfied
C-0074,9.0,2.5555555555555554,2.0,0.2222222222222222,satisfied
C-0075,11.0,1.9090909090909092,0.0,0.0,satisfied
C-0076,4.0,2.5,0.0,0.0,satisfied
C-0077,7.0,1.7142857142857142,0.0,0.0,satisfied
C-0078,6.0,2.1666666666666665,0.0,0.0,satisfied
C-0079,9.0,2.2222222222222223,1.0,0.1111111111111111,satisfied
C-0080,10.0,2.8,2.0,0.2,satisfied
C-0081,8.0,2.5,1.0,0.125,satisfied
C-0082,13.0,2.3076923076923075,1.0,0.07692307692307693,satisfied
C-0083,10.0,2.1,0.0,0.0,satisfied
C-0084,9.0,1.8888888888888888,1.0,0.1111111111111111,satisfied
C-0085,5.0,1.6,0.0,0.0,satisfied
C-0086,14.0,2.2142857142857144,1.0,0.07142857142857142,satisfied
C-0087,7.0,2.142857142857143,0.0,0.0,satisfied
C-0088,7.0,2.857142857142857,1.0,0.14285714285714285,satisfied
C-0089,9.0,2.5555555555555554,2.0,0.2222222222222222,satisfied
C-0090,9.0,2.111111111111111,1.0,0.1111111111111111,satisfied
C-0091,13.0,2.923076923076923,5.0,0.38461538461538464,at_risk
C-0092,7.0,2.0,0.0,0.0,satisfied
C-0093,0.0,0.0,0.0,0.0,loyal_quiet
C-0094,13.0,2.1538461538461537,1.0,0.07692307692307693,satisfied
C-0095,5.0,2.6,0.0,0.0,satisfied
C-0096,8.0,2.0,0.0,0.0,satisfied
C-0097,5.0,2.0,1.0,0.2,satisfied
C-0098,1.0,3.0,0.0,0.0,at_risk
C-0099,8.0,2.75,2.0,0.25,satisfied
C-0100,7.0,2.7142857142857144,2.0,0.2857142857142857,satisfied
C-0101,6.0,2.5,1.0,0.16666666666666666,satisfied
C-0102,8.0,2.375,2.0,0.25,satisfied
C-0103,4.0,2.5,1.0,0.25,satisfied
C-0104,7.0,2.2857142857142856,1.0,0.14285714285714285,satisfied
C-0105,2.0,2.0,0.0,0.0,satisfied
C-0106,3.0,2.3333333333333335,0.0,0.0,satisfied
C-0107,3.0,2.6666666666666665,0.0,0.0,satisfied
C-0108,4.0,2.25,0.0,0.0,satisfied
C-0109,4.0,2.75,1.0,0.25,satisfied
C-0110,5.0,2.4,0.0,0.0,satisfied
C-0111,0.0,0.0,0.0,0.0,loyal_quiet
C-0112,2.0,2.0,0.0,0.0,satisfied
C-0113,2.0,2.0,0.0,0.0,satisfied
C-0114,9.0,2.7777777777777777,1.0,0.1111111111111111,satisfied
C-0115,13.0,2.3846153846153846,0.0,0.0,satisfied
C-0116,11.0,1.9090909090909092,0.0,0.0,satisfied
C-0117,9.0,2.0,0.0,0.0,satisfied
C-0118,0.0,0.0,0.0,0.0,loyal_quiet
C-0119,9.0,2.4444444444444446,0.0,0.0,satisfied
C-0120,2.0,2.0,0.0,0.0,satisfied
C-0121,6.0,2.0,0.0,0.0,satisfied
C-0122,10.0,2.4,0.0,0.0,satisfied
C-0123,15.0,1.8666666666666667,0.0,0.0,satisfied
C-0124,8.0,2.5,0.0,0.0,satisfied
C-0125,14.0,2.2142857142857144,2.0,0.14285714285714285,satisfied
C-0126,3.0,3.3333333333333335,1.0,0.3333333333333333,at_risk
C-0127,1.0,3.0,0.0,0.0,at_risk
C-0128,6.0,2.5,0.0,0.0,satisfied
C-0129,12.0,2.6666666666666665,2.0,0.16666666666666666,satisfied
C-0130,5.0,2.0,0.0,0.0,satisfied
C-0131,4.0,2.25,0.0,0.0,satisfied
C-0132,14.0,2.142857142857143,1.0,0.07142857142857142,satisfied
C-0133,7.0,2.4285714285714284,0.0,0.0,satisfied
C-0134,2.0,2.0,0.0,0.0,satisfied
C-0135,8.0,2.375,0.0,0.0,satisfied
C-0136,17.0,2.411764705882353,3.0,0.17647058823529413,satisfied
C-0137,6.0,1.6666666666666667,0.0,0.0,satisfied
